video_id,conversation_id,dyad_id,participant_id,start_s,end_s,label,annotator,confidence,notes
IH6KWbTogT0,,,p0,81.0,82.0,1,divya,1,online_watch
P4ul1tuvi9c,,,p0,84.0,85.0,1,divya,1,online_watch
xkHwlcDSOjc,,,p0,176.0,177.0,0,divya,0,online_watch
RzIxWA-ll8g,,,p0,716.0,717.0,0,divya,0,online_watch
D8K1AAxkg0g,,,p0,93.0,94.0,0,divya,0,online_watch
niEsUBm1l98,,,p1,1652.0,1653.0,1,divya,1,online_watch
wrhnUxQrx8g,,,p1,1298.0,1299.0,1,divya,1,online_watch
sfUBZaWn2f8,,,p1,765.0,766.0,1,divya,1,online_watch
GJtqigeWHV8,,,p1,144.0,145.0,1,divya,1,online_watch
jg6y3LABwTs,,,p1,127.0,128.0,0,divya,0,online_watch
FzCjvLU7u7Q,,,p0,93.0,94.0,0,divya,0,online_watch
6RDkdbgzeAI,,,p0,393.0,394.0,0,divya,0,online_watch
WrWFSBLjWZU,,,p0,59.0,60.0,1,divya,1,online_watch
f6aNo5Mod9I,,,p0,111.0,112.0,1,divya,1,online_watch
Ak2Bm8mfL3w,,,p0,117.0,118.0,1,divya,1,online_watch
Cusa1_4R_QI,,,p0,555.0,556.0,1,divya,1,online_watch
oQNpe8uwSUA,,,p0,318.0,319.0,0,divya,0,online_watch
Zrer1sqWzOQ,,,p0,288.0,289.0,1,divya,1,online_watch
YDI27aeM2O8,,,p0,60.0,61.0,1,divya,1,online_watch
V1tcw5SLwmM,,,p0,364.0,366.0,1,divya,1,online_watch
MGXtWqf1_BA,,,p1,305.0,306.0,1,divya,1,online_watch
jn_3yDP58Ik,,,p1,83.0,84.0,0,divya,0,online_watch
zS-xXIiLrWw,,,p1,141.0,142.0,0,divya,0,online_watch
PM3oaJMiDd4,,,p1,22.0,23.0,0,divya,0,online_watch
J4XrvnkftL8,,,p1,305.0,306.0,1,divya,1,online_watch
G6tLY8FiheE,,,p1,183.0,185.0,1,divya,1,online_watch
VSdVKQhnD9s,,,p1,130.0,131.0,1,divya,1,online_watch
N-6L1u42cnw,,,p1,114.0,116.0,0,divya,0,online_watch
PDd6qEv0_7c,,,p1,76.0,77.0,1,divya,1,online_watch
ktR3_bXoxaE,,,p1,110.0,111.0,1,divya,1,online_watch
