sample_id,video_id,split,youtube_url,who_to_watch,watch_from,watch_until,nod_label,shake_label,shake_start,shake_end
gold_001,IH6KWbTogT0,DEV,https://www.youtube.com/watch?v=IH6KWbTogT0&t=55,LEFT,0:55,1:55,1,1,,
gold_002,P4ul1tuvi9c,DEV,https://www.youtube.com/watch?v=P4ul1tuvi9c&t=71,LEFT,1:11,2:11,1,1,,
gold_003,xkHwlcDSOjc,DEV,https://www.youtube.com/watch?v=xkHwlcDSOjc&t=150,LEFT,2:31,3:31,0,0,,
gold_004,RzIxWA-ll8g,DEV,https://www.youtube.com/watch?v=RzIxWA-ll8g&t=701,LEFT,11:41,12:41,0,1,,
gold_005,D8K1AAxkg0g,DEV,https://www.youtube.com/watch?v=D8K1AAxkg0g&t=47,LEFT,0:48,1:48,0,0,,
gold_006,niEsUBm1l98,DEV,https://www.youtube.com/watch?v=niEsUBm1l98&t=1622,RIGHT,27:02,28:02,1,0,,
gold_007,wrhnUxQrx8g,DEV,https://www.youtube.com/watch?v=wrhnUxQrx8g&t=1270,RIGHT,21:10,22:10,1,1,,
gold_008,sfUBZaWn2f8,DEV,https://www.youtube.com/watch?v=sfUBZaWn2f8&t=754,RIGHT,12:34,13:34,1,1,,
gold_009,GJtqigeWHV8,DEV,https://www.youtube.com/watch?v=GJtqigeWHV8&t=123,RIGHT,2:04,3:04,1,0,,
gold_010,jg6y3LABwTs,DEV,https://www.youtube.com/watch?v=jg6y3LABwTs&t=88,RIGHT,1:28,2:28,0,1,,
gold_011,FzCjvLU7u7Q,DEV,https://www.youtube.com/watch?v=FzCjvLU7u7Q&t=81,LEFT,1:22,2:22,0,1,,
gold_012,6RDkdbgzeAI,DEV,https://www.youtube.com/watch?v=6RDkdbgzeAI&t=368,LEFT,6:08,7:08,0,1,,
gold_013,WrWFSBLjWZU,DEV,https://www.youtube.com/watch?v=WrWFSBLjWZU&t=41,LEFT,0:42,1:42,1,1,,
gold_014,f6aNo5Mod9I,DEV,https://www.youtube.com/watch?v=f6aNo5Mod9I&t=52,LEFT,0:53,1:53,1,0,,
gold_015,Ak2Bm8mfL3w,DEV,https://www.youtube.com/watch?v=Ak2Bm8mfL3w&t=813,LEFT,13:34,14:34,1,1,,
gold_016,Cusa1_4R_QI,TEST,https://www.youtube.com/watch?v=Cusa1_4R_QI&t=508,LEFT,8:29,9:29,1,1,,
gold_017,oQNpe8uwSUA,TEST,https://www.youtube.com/watch?v=oQNpe8uwSUA&t=303,LEFT,5:04,6:04,0,1,,
gold_018,Zrer1sqWzOQ,TEST,https://www.youtube.com/watch?v=Zrer1sqWzOQ&t=296,LEFT,4:56,5:56,1,0,,
gold_019,YDI27aeM2O8,TEST,https://www.youtube.com/watch?v=YDI27aeM2O8&t=30,LEFT,0:30,1:30,1,1,,
gold_020,V1tcw5SLwmM,TEST,https://www.youtube.com/watch?v=V1tcw5SLwmM&t=345,LEFT,5:46,6:46,1,0,,
gold_021,MGXtWqf1_BA,TEST,https://www.youtube.com/watch?v=MGXtWqf1_BA&t=293,RIGHT,4:54,5:54,1,0,,
gold_022,jn_3yDP58Ik,TEST,https://www.youtube.com/watch?v=jn_3yDP58Ik&t=58,RIGHT,0:59,1:59,0,0,,
gold_023,zS-xXIiLrWw,TEST,https://www.youtube.com/watch?v=zS-xXIiLrWw&t=121,RIGHT,2:02,3:02,0,1,,
gold_024,PM3oaJMiDd4,TEST,https://www.youtube.com/watch?v=PM3oaJMiDd4&t=10,RIGHT,0:10,1:10,0,0,,
gold_025,J4XrvnkftL8,TEST,https://www.youtube.com/watch?v=J4XrvnkftL8&t=274,RIGHT,4:35,5:35,1,0,,
gold_026,G6tLY8FiheE,TEST,https://www.youtube.com/watch?v=G6tLY8FiheE&t=178,RIGHT,2:58,3:58,1,0,,
gold_027,VSdVKQhnD9s,TEST,https://www.youtube.com/watch?v=VSdVKQhnD9s&t=95,RIGHT,1:35,2:35,1,1,,
gold_028,N-6L1u42cnw,TEST,https://www.youtube.com/watch?v=N-6L1u42cnw&t=86,RIGHT,1:26,2:26,0,1,,
gold_029,PDd6qEv0_7c,TEST,https://www.youtube.com/watch?v=PDd6qEv0_7c&t=55,RIGHT,0:56,1:56,1,1,,
gold_030,ktR3_bXoxaE,TEST,https://www.youtube.com/watch?v=ktR3_bXoxaE&t=91,RIGHT,1:32,2:32,1,0,,
