video_id,youtube_url,who_to_watch,watch_from,watch_until,split,notes
IH6KWbTogT0,https://www.youtube.com/watch?v=IH6KWbTogT0&t=55,LEFT — watch the person on the LEFT. Ignore the speaker on the right.,0:55,1:55,dev,"DEV=tune. TEST=label now, do not tune on these."
P4ul1tuvi9c,https://www.youtube.com/watch?v=P4ul1tuvi9c&t=71,LEFT — watch the person on the LEFT. Ignore the speaker on the right.,1:11,2:11,dev,"DEV=tune. TEST=label now, do not tune on these."
xkHwlcDSOjc,https://www.youtube.com/watch?v=xkHwlcDSOjc&t=150,LEFT — watch the person on the LEFT. Ignore the speaker on the right.,2:31,3:31,dev,"DEV=tune. TEST=label now, do not tune on these."
RzIxWA-ll8g,https://www.youtube.com/watch?v=RzIxWA-ll8g&t=701,LEFT — watch the person on the LEFT. Ignore the speaker on the right.,11:41,12:41,dev,"DEV=tune. TEST=label now, do not tune on these."
D8K1AAxkg0g,https://www.youtube.com/watch?v=D8K1AAxkg0g&t=47,LEFT — watch the person on the LEFT. Ignore the speaker on the right.,0:48,1:48,dev,"DEV=tune. TEST=label now, do not tune on these."
niEsUBm1l98,https://www.youtube.com/watch?v=niEsUBm1l98&t=1622,RIGHT — watch the person on the RIGHT. Ignore the speaker on the left.,27:02,28:02,dev,"DEV=tune. TEST=label now, do not tune on these."
wrhnUxQrx8g,https://www.youtube.com/watch?v=wrhnUxQrx8g&t=1270,RIGHT — watch the person on the RIGHT. Ignore the speaker on the left.,21:10,22:10,dev,"DEV=tune. TEST=label now, do not tune on these."
sfUBZaWn2f8,https://www.youtube.com/watch?v=sfUBZaWn2f8&t=754,RIGHT — watch the person on the RIGHT. Ignore the speaker on the left.,12:34,13:34,dev,"DEV=tune. TEST=label now, do not tune on these."
GJtqigeWHV8,https://www.youtube.com/watch?v=GJtqigeWHV8&t=123,RIGHT — watch the person on the RIGHT. Ignore the speaker on the left.,2:04,3:04,dev,"DEV=tune. TEST=label now, do not tune on these."
jg6y3LABwTs,https://www.youtube.com/watch?v=jg6y3LABwTs&t=88,RIGHT — watch the person on the RIGHT. Ignore the speaker on the left.,1:28,2:28,dev,"DEV=tune. TEST=label now, do not tune on these."
FzCjvLU7u7Q,https://www.youtube.com/watch?v=FzCjvLU7u7Q&t=81,LEFT — watch the person on the LEFT. Ignore the speaker on the right.,1:22,2:22,dev,"DEV=tune. TEST=label now, do not tune on these."
6RDkdbgzeAI,https://www.youtube.com/watch?v=6RDkdbgzeAI&t=368,LEFT — watch the person on the LEFT. Ignore the speaker on the right.,6:08,7:08,dev,"DEV=tune. TEST=label now, do not tune on these."
WrWFSBLjWZU,https://www.youtube.com/watch?v=WrWFSBLjWZU&t=41,LEFT — watch the person on the LEFT. Ignore the speaker on the right.,0:42,1:42,dev,"DEV=tune. TEST=label now, do not tune on these."
f6aNo5Mod9I,https://www.youtube.com/watch?v=f6aNo5Mod9I&t=52,LEFT — watch the person on the LEFT. Ignore the speaker on the right.,0:53,1:53,dev,"DEV=tune. TEST=label now, do not tune on these."
Ak2Bm8mfL3w,https://www.youtube.com/watch?v=Ak2Bm8mfL3w&t=813,LEFT — watch the person on the LEFT. Ignore the speaker on the right.,13:34,14:34,dev,"DEV=tune. TEST=label now, do not tune on these."
Cusa1_4R_QI,https://www.youtube.com/watch?v=Cusa1_4R_QI&t=508,LEFT — watch the person on the LEFT. Ignore the speaker on the right.,8:29,9:29,test,"DEV=tune. TEST=label now, do not tune on these."
oQNpe8uwSUA,https://www.youtube.com/watch?v=oQNpe8uwSUA&t=303,LEFT — watch the person on the LEFT. Ignore the speaker on the right.,5:04,6:04,test,"DEV=tune. TEST=label now, do not tune on these."
Zrer1sqWzOQ,https://www.youtube.com/watch?v=Zrer1sqWzOQ&t=296,LEFT — watch the person on the LEFT. Ignore the speaker on the right.,4:56,5:56,test,"DEV=tune. TEST=label now, do not tune on these."
YDI27aeM2O8,https://www.youtube.com/watch?v=YDI27aeM2O8&t=30,LEFT — watch the person on the LEFT. Ignore the speaker on the right.,0:30,1:30,test,"DEV=tune. TEST=label now, do not tune on these."
V1tcw5SLwmM,https://www.youtube.com/watch?v=V1tcw5SLwmM&t=345,LEFT — watch the person on the LEFT. Ignore the speaker on the right.,5:46,6:46,test,"DEV=tune. TEST=label now, do not tune on these."
MGXtWqf1_BA,https://www.youtube.com/watch?v=MGXtWqf1_BA&t=293,RIGHT — watch the person on the RIGHT. Ignore the speaker on the left.,4:54,5:54,test,"DEV=tune. TEST=label now, do not tune on these."
jn_3yDP58Ik,https://www.youtube.com/watch?v=jn_3yDP58Ik&t=58,RIGHT — watch the person on the RIGHT. Ignore the speaker on the left.,0:59,1:59,test,"DEV=tune. TEST=label now, do not tune on these."
zS-xXIiLrWw,https://www.youtube.com/watch?v=zS-xXIiLrWw&t=121,RIGHT — watch the person on the RIGHT. Ignore the speaker on the left.,2:02,3:02,test,"DEV=tune. TEST=label now, do not tune on these."
PM3oaJMiDd4,https://www.youtube.com/watch?v=PM3oaJMiDd4&t=10,RIGHT — watch the person on the RIGHT. Ignore the speaker on the left.,0:10,1:10,test,"DEV=tune. TEST=label now, do not tune on these."
J4XrvnkftL8,https://www.youtube.com/watch?v=J4XrvnkftL8&t=274,RIGHT — watch the person on the RIGHT. Ignore the speaker on the left.,4:35,5:35,test,"DEV=tune. TEST=label now, do not tune on these."
G6tLY8FiheE,https://www.youtube.com/watch?v=G6tLY8FiheE&t=178,RIGHT — watch the person on the RIGHT. Ignore the speaker on the left.,2:58,3:58,test,"DEV=tune. TEST=label now, do not tune on these."
VSdVKQhnD9s,https://www.youtube.com/watch?v=VSdVKQhnD9s&t=95,RIGHT — watch the person on the RIGHT. Ignore the speaker on the left.,1:35,2:35,test,"DEV=tune. TEST=label now, do not tune on these."
N-6L1u42cnw,https://www.youtube.com/watch?v=N-6L1u42cnw&t=86,RIGHT — watch the person on the RIGHT. Ignore the speaker on the left.,1:26,2:26,test,"DEV=tune. TEST=label now, do not tune on these."
PDd6qEv0_7c,https://www.youtube.com/watch?v=PDd6qEv0_7c&t=55,RIGHT — watch the person on the RIGHT. Ignore the speaker on the left.,0:56,1:56,test,"DEV=tune. TEST=label now, do not tune on these."
ktR3_bXoxaE,https://www.youtube.com/watch?v=ktR3_bXoxaE&t=91,RIGHT — watch the person on the RIGHT. Ignore the speaker on the left.,1:32,2:32,test,"DEV=tune. TEST=label now, do not tune on these."
