sample_id,video_id,start_frame,end_frame,person,split,label
gold_001,IH6KWbTogT0,1375,2875,p0,DEV,1
gold_002,P4ul1tuvi9c,1775,3275,p0,DEV,1
gold_003,xkHwlcDSOjc,3775,5275,p0,DEV,0
gold_004,RzIxWA-ll8g,17525,19025,p0,DEV,0
gold_005,D8K1AAxkg0g,1200,2700,p0,DEV,0
gold_006,niEsUBm1l98,40550,42050,p1,DEV,1
gold_007,wrhnUxQrx8g,31750,33250,p1,DEV,1
gold_008,sfUBZaWn2f8,18850,20350,p1,DEV,1
gold_009,GJtqigeWHV8,3100,4600,p1,DEV,1
gold_010,jg6y3LABwTs,2200,3700,p1,DEV,0
gold_011,FzCjvLU7u7Q,2050,3550,p0,DEV,0
gold_012,6RDkdbgzeAI,9200,10700,p0,DEV,0
gold_013,WrWFSBLjWZU,1050,2550,p0,DEV,1
gold_014,f6aNo5Mod9I,1325,2825,p0,DEV,1
gold_015,Ak2Bm8mfL3w,20350,21850,p0,DEV,1
gold_016,Cusa1_4R_QI,12725,14225,p0,TEST,1
gold_017,oQNpe8uwSUA,7600,9100,p0,TEST,0
gold_018,Zrer1sqWzOQ,7400,8900,p0,TEST,1
gold_019,YDI27aeM2O8,750,2250,p0,TEST,1
gold_020,V1tcw5SLwmM,8650,10150,p0,TEST,1
gold_021,MGXtWqf1_BA,7350,8850,p1,TEST,1
gold_022,jn_3yDP58Ik,1475,2975,p1,TEST,0
gold_023,zS-xXIiLrWw,3050,4550,p1,TEST,0
gold_024,PM3oaJMiDd4,250,1750,p1,TEST,0
gold_025,J4XrvnkftL8,6875,8375,p1,TEST,1
gold_026,G6tLY8FiheE,4450,5950,p1,TEST,1
gold_027,VSdVKQhnD9s,2375,3875,p1,TEST,1
gold_028,N-6L1u42cnw,2150,3650,p1,TEST,0
gold_029,PDd6qEv0_7c,1400,2900,p1,TEST,1
gold_030,ktR3_bXoxaE,2300,3800,p1,TEST,1
