sample_id,event_id,start_sec,end_sec,start_frame_relative,end_frame_relative
gold_001,nod_001,4.0,4.4,100,110
gold_001,nod_002,16.0,16.4,400,410
gold_001,nod_003,25.0,27.0,625,675
gold_002,nod_001,13.0,15.0,325,375
gold_002,nod_002,39.0,40.0,975,1000
gold_003,nod_001,25.0,26.0,625,650
gold_003,nod_002,30.0,31.0,750,775
gold_004,nod_001,15.0,16.0,375,400
gold_004,nod_002,21.0,22.0,525,550
gold_005,nod_001,20.0,21.0,500,525
gold_005,nod_002,44.0,46.0,1100,1150
gold_005,nod_003,54.0,55.0,1350,1375
gold_006,nod_001,4.0,5.0,100,125
gold_006,nod_002,30.0,31.0,750,775
gold_006,nod_003,47.0,48.0,1175,1200
gold_007,nod_001,29.0,30.0,725,750
gold_008,nod_001,8.0,9.0,200,225
gold_008,nod_002,10.0,11.0,250,275
gold_008,nod_003,15.0,16.0,375,400
gold_008,nod_004,19.0,20.0,475,500
gold_008,nod_005,23.0,24.0,575,600
gold_009,nod_001,15.0,16.0,375,400
gold_009,nod_002,19.0,20.0,475,500
gold_009,nod_003,20.0,21.0,500,525
gold_009,nod_004,32.0,33.0,800,825
gold_010,nod_001,39.0,40.0,975,1000
gold_011,nod_001,45.0,46.0,1125,1150
gold_011,nod_002,55.0,55.4,1375,1385
gold_013,nod_001,10.0,11.0,250,275
gold_013,nod_002,17.0,18.0,425,450
gold_013,nod_003,51.0,53.0,1275,1325
gold_014,nod_001,48.0,49.0,1200,1225
gold_014,nod_002,57.0,58.0,1425,1450
gold_015,nod_001,24.0,25.0,600,625
gold_015,nod_002,25.0,27.0,625,675
gold_015,nod_003,58.0,59.0,1450,1475
