sample_id,event_id,start_sec,end_sec,start_frame_relative,end_frame_relative
gold_001,shake_001,34.0,34.4,850,860
gold_001,shake_002,59.0,60.0,1475,1500
gold_002,shake_001,12.0,13.0,300,325
gold_002,shake_002,22.0,24.0,550,600
gold_002,shake_003,54.0,55.0,1350,1375
gold_004,shake_001,27.0,28.0,675,700
gold_004,shake_002,35.0,36.0,875,900
gold_004,shake_003,55.0,57.0,1375,1425
gold_006,shake_001,23.0,24.0,575,600
gold_006,shake_002,56.0,57.0,1400,1425
gold_007,shake_001,3.0,3.4,75,85
gold_007,shake_002,32.0,32.4,800,810
gold_008,shake_001,36.0,37.0,900,925
gold_009,shake_001,59.6,60.0,1490,1500
gold_010,shake_001,51.0,52.0,1275,1300
gold_010,shake_002,54.0,55.0,1350,1375
gold_011,shake_001,24.0,25.0,600,625
gold_011,shake_002,28.0,29.0,700,725
gold_012,shake_001,13.0,14.0,325,350
gold_013,shake_001,30.0,32.0,750,800
gold_013,shake_002,50.0,50.4,1250,1260
gold_013,shake_003,59.0,60.0,1475,1500
gold_014,shake_001,37.0,37.4,925,935
gold_014,shake_002,50.0,51.0,1250,1275
gold_015,shake_001,2.0,3.0,50,75
gold_015,shake_002,56.0,57.0,1400,1425
