sample_id,label,rule_score,pred_rule,cnn_probability,pred_cnn,error
gold_016,1,64.17038457154692,1,0.99703133,1,correct
gold_017,0,21.666095415751208,1,0.7444636,1,shared_fp
gold_018,1,4.32383140039334,0,0.16767217,0,shared_fn
gold_019,1,18.418410538602465,1,0.8027661,1,correct
gold_020,1,80.52193498944929,1,0.9548122,1,correct
gold_021,1,25.28279630509854,1,0.56005067,1,correct
gold_022,0,34.31369686098932,1,0.99997437,1,shared_fp
gold_023,0,23.35417311008168,1,0.39844614,0,rule_only_fp
gold_024,0,7.963571037168013,0,0.1907774,0,correct
gold_025,1,44.220970444468215,1,0.99700874,1,correct
gold_026,1,8.70222817156423,0,0.24873406,0,shared_fn
gold_027,1,39.37183946107108,1,0.99989736,1,correct
gold_028,0,22.724216278894318,1,0.46428606,1,shared_fp
gold_029,1,38.72659985974686,1,0.24592943,0,cnn_only_fn
gold_030,1,12.832130440048443,0,0.48547882,1,rule_only_fn
