sample_id,video_id,split,valid_ratio
gold_009,GJtqigeWHV8,DEV,0.994
gold_030,ktR3_bXoxaE,TEST,1.0
gold_024,PM3oaJMiDd4,TEST,0.9166666666666666
gold_026,G6tLY8FiheE,TEST,0.9993333333333333
gold_019,YDI27aeM2O8,TEST,0.974
gold_027,VSdVKQhnD9s,TEST,0.9926666666666667
gold_001,IH6KWbTogT0,DEV,0.95
gold_007,wrhnUxQrx8g,DEV,0.9773333333333334
gold_010,jg6y3LABwTs,DEV,0.9753333333333334
gold_018,Zrer1sqWzOQ,TEST,1.0
gold_015,Ak2Bm8mfL3w,DEV,0.9986666666666667
gold_005,D8K1AAxkg0g,DEV,0.99
gold_004,RzIxWA-ll8g,DEV,0.9306666666666666
gold_020,V1tcw5SLwmM,TEST,0.9993333333333333
gold_006,niEsUBm1l98,DEV,0.9966666666666667
gold_011,FzCjvLU7u7Q,DEV,0.9993333333333333
gold_002,P4ul1tuvi9c,DEV,1.0
gold_008,sfUBZaWn2f8,DEV,0.868
gold_017,oQNpe8uwSUA,TEST,0.996
gold_016,Cusa1_4R_QI,TEST,0.9993333333333333
gold_028,N-6L1u42cnw,TEST,0.95
gold_023,zS-xXIiLrWw,TEST,0.9106666666666666
gold_014,f6aNo5Mod9I,DEV,0.966
