epoch,train_loss,dev_f1_nod,dev_f1_shake,dev_f1_mean,dev_threshold_nod,dev_threshold_shake,dev_balanced_accuracy_nod,dev_balanced_accuracy_shake
1,0.26016536364331844,0.75,0.8,0.775,0.2,0.2,0.5,0.5
2,0.2456138770096004,0.75,0.8,0.775,0.5,0.2,0.75,0.5
3,0.2365862818667665,0.75,0.8,0.775,0.5,0.2,0.75,0.5
4,0.22835086383856834,0.8235294117647058,0.8,0.8117647058823529,0.5,0.2,0.8055555555555556,0.5
5,0.2266614945838228,0.8235294117647058,0.8,0.8117647058823529,0.5,0.2,0.8055555555555556,0.5
6,0.20743613748345524,0.8421052631578947,0.8,0.8210526315789474,0.5,0.2,0.7777777777777777,0.5
7,0.19359456261154265,0.8421052631578947,0.8,0.8210526315789474,0.5,0.2,0.7777777777777777,0.5
8,0.1904622920555994,0.8421052631578947,0.8,0.8210526315789474,0.5,0.2,0.7777777777777777,0.5
9,0.17180113678332418,0.9,0.8,0.8500000000000001,0.5,0.2,0.8333333333333333,0.5
10,0.1563030359102413,0.9,0.8,0.8500000000000001,0.5,0.2,0.8333333333333333,0.5
11,0.14272166904993355,0.9,0.8,0.8500000000000001,0.55,0.2,0.8333333333333333,0.5
12,0.12052662445348687,0.9,0.8,0.8500000000000001,0.55,0.2,0.8333333333333333,0.5
13,0.09974702395265922,0.9,0.8,0.8500000000000001,0.55,0.2,0.8333333333333333,0.5
14,0.08863007247564383,0.9473684210526315,0.8,0.8736842105263158,0.7000000000000002,0.2,0.9166666666666667,0.5
15,0.0704736762738321,0.9,0.8,0.8500000000000001,0.6000000000000001,0.2,0.8333333333333333,0.5
