video_id,youtube_url,who_to_watch,watch_from,watch_until,predicted_start,predicted_end,annotated_start,annotated_end,label,status,iou,source
IH6KWbTogT0,https://www.youtube.com/watch?v=IH6KWbTogT0&t=81,LEFT — watch the person on the LEFT. Ignore the speaker on the right.,0:55,1:55,,,1:21,1:22,1,annotated_only,,realtalk
P4ul1tuvi9c,https://www.youtube.com/watch?v=P4ul1tuvi9c&t=84,LEFT — watch the person on the LEFT. Ignore the speaker on the right.,1:11,2:11,,,1:24,1:25,1,annotated_only,,realtalk
xkHwlcDSOjc,https://www.youtube.com/watch?v=xkHwlcDSOjc&t=176,LEFT — watch the person on the LEFT. Ignore the speaker on the right.,2:31,3:31,,,2:56,2:57,0,annotated_only,,realtalk
RzIxWA-ll8g,https://www.youtube.com/watch?v=RzIxWA-ll8g&t=716,LEFT — watch the person on the LEFT. Ignore the speaker on the right.,11:41,12:41,,,11:56,11:57,0,annotated_only,,realtalk
D8K1AAxkg0g,https://www.youtube.com/watch?v=D8K1AAxkg0g&t=93,LEFT — watch the person on the LEFT. Ignore the speaker on the right.,0:48,1:48,,,1:33,1:34,0,annotated_only,,realtalk
niEsUBm1l98,https://www.youtube.com/watch?v=niEsUBm1l98&t=1652,RIGHT — watch the person on the RIGHT. Ignore the speaker on the left.,27:02,28:02,,,27:32,27:33,1,annotated_only,,realtalk
wrhnUxQrx8g,https://www.youtube.com/watch?v=wrhnUxQrx8g&t=1298,RIGHT — watch the person on the RIGHT. Ignore the speaker on the left.,21:10,22:10,,,21:38,21:39,1,annotated_only,,realtalk
sfUBZaWn2f8,https://www.youtube.com/watch?v=sfUBZaWn2f8&t=765,RIGHT — watch the person on the RIGHT. Ignore the speaker on the left.,12:34,13:34,,,12:45,12:46,1,annotated_only,,realtalk
GJtqigeWHV8,https://www.youtube.com/watch?v=GJtqigeWHV8&t=144,RIGHT — watch the person on the RIGHT. Ignore the speaker on the left.,2:04,3:04,,,2:24,2:25,1,annotated_only,,realtalk
jg6y3LABwTs,https://www.youtube.com/watch?v=jg6y3LABwTs&t=127,RIGHT — watch the person on the RIGHT. Ignore the speaker on the left.,1:28,2:28,,,2:07,2:08,0,annotated_only,,realtalk
FzCjvLU7u7Q,https://www.youtube.com/watch?v=FzCjvLU7u7Q&t=93,LEFT — watch the person on the LEFT. Ignore the speaker on the right.,1:22,2:22,,,1:33,1:34,0,annotated_only,,realtalk
6RDkdbgzeAI,https://www.youtube.com/watch?v=6RDkdbgzeAI&t=393,LEFT — watch the person on the LEFT. Ignore the speaker on the right.,6:08,7:08,,,6:33,6:34,0,annotated_only,,realtalk
WrWFSBLjWZU,https://www.youtube.com/watch?v=WrWFSBLjWZU&t=59,LEFT — watch the person on the LEFT. Ignore the speaker on the right.,0:42,1:42,,,0:59,1:00,1,annotated_only,,realtalk
f6aNo5Mod9I,https://www.youtube.com/watch?v=f6aNo5Mod9I&t=111,LEFT — watch the person on the LEFT. Ignore the speaker on the right.,0:53,1:53,,,1:51,1:52,1,annotated_only,,realtalk
Ak2Bm8mfL3w,https://www.youtube.com/watch?v=Ak2Bm8mfL3w&t=117,LEFT — watch the person on the LEFT. Ignore the speaker on the right.,13:34,14:34,,,1:57,1:58,1,annotated_only,,realtalk
Cusa1_4R_QI,https://www.youtube.com/watch?v=Cusa1_4R_QI&t=555,LEFT — watch the person on the LEFT. Ignore the speaker on the right.,8:29,9:29,,,9:15,9:16,1,annotated_only,,realtalk
oQNpe8uwSUA,https://www.youtube.com/watch?v=oQNpe8uwSUA&t=318,LEFT — watch the person on the LEFT. Ignore the speaker on the right.,5:04,6:04,,,5:18,5:19,0,annotated_only,,realtalk
Zrer1sqWzOQ,https://www.youtube.com/watch?v=Zrer1sqWzOQ&t=288,LEFT — watch the person on the LEFT. Ignore the speaker on the right.,4:56,5:56,,,4:48,4:49,1,annotated_only,,realtalk
YDI27aeM2O8,https://www.youtube.com/watch?v=YDI27aeM2O8&t=60,LEFT — watch the person on the LEFT. Ignore the speaker on the right.,0:30,1:30,,,1:00,1:01,1,annotated_only,,realtalk
V1tcw5SLwmM,https://www.youtube.com/watch?v=V1tcw5SLwmM&t=364,LEFT — watch the person on the LEFT. Ignore the speaker on the right.,5:46,6:46,,,6:04,6:06,1,annotated_only,,realtalk
MGXtWqf1_BA,https://www.youtube.com/watch?v=MGXtWqf1_BA&t=305,RIGHT — watch the person on the RIGHT. Ignore the speaker on the left.,4:54,5:54,,,5:05,5:06,1,annotated_only,,realtalk
jn_3yDP58Ik,https://www.youtube.com/watch?v=jn_3yDP58Ik&t=83,RIGHT — watch the person on the RIGHT. Ignore the speaker on the left.,0:59,1:59,,,1:23,1:24,0,annotated_only,,realtalk
zS-xXIiLrWw,https://www.youtube.com/watch?v=zS-xXIiLrWw&t=141,RIGHT — watch the person on the RIGHT. Ignore the speaker on the left.,2:02,3:02,,,2:21,2:22,0,annotated_only,,realtalk
PM3oaJMiDd4,https://www.youtube.com/watch?v=PM3oaJMiDd4&t=22,RIGHT — watch the person on the RIGHT. Ignore the speaker on the left.,0:10,1:10,,,0:22,0:23,0,annotated_only,,realtalk
J4XrvnkftL8,https://www.youtube.com/watch?v=J4XrvnkftL8&t=305,RIGHT — watch the person on the RIGHT. Ignore the speaker on the left.,4:35,5:35,,,5:05,5:06,1,annotated_only,,realtalk
G6tLY8FiheE,https://www.youtube.com/watch?v=G6tLY8FiheE&t=183,RIGHT — watch the person on the RIGHT. Ignore the speaker on the left.,2:58,3:58,,,3:03,3:05,1,annotated_only,,realtalk
VSdVKQhnD9s,https://www.youtube.com/watch?v=VSdVKQhnD9s&t=130,RIGHT — watch the person on the RIGHT. Ignore the speaker on the left.,1:35,2:35,,,2:10,2:11,1,annotated_only,,realtalk
N-6L1u42cnw,https://www.youtube.com/watch?v=N-6L1u42cnw&t=114,RIGHT — watch the person on the RIGHT. Ignore the speaker on the left.,1:26,2:26,,,1:54,1:56,0,annotated_only,,realtalk
PDd6qEv0_7c,https://www.youtube.com/watch?v=PDd6qEv0_7c&t=76,RIGHT — watch the person on the RIGHT. Ignore the speaker on the left.,0:56,1:56,,,1:16,1:17,1,annotated_only,,realtalk
ktR3_bXoxaE,https://www.youtube.com/watch?v=ktR3_bXoxaE&t=110,RIGHT — watch the person on the RIGHT. Ignore the speaker on the left.,1:32,2:32,,,1:50,1:51,1,annotated_only,,realtalk
