sample_id,video_id,pseudo_label,rule_score,score_x,score_y,score_z,ptp_x,ptp_y,ptp_z,hard_neg_rank,neg_type_nod,neg_type_turn,neg_type_mid,static_low_motion,track,n_each,shake_axis
pseudo_00006,vWFCAiWvz-g,0,13.398854699168211,36.49186756428871,13.398854699168211,16.392773646019048,42.310686111450195,20.743561923503876,19.52024555206299,5.468636485260406,1,0,0,0,highconf,20,y
pseudo_00007,jVcbcgUWumE,0,20.44493745444544,13.24965208338139,20.44493745444544,28.570711557126074,18.68024492263794,21.160678148269653,48.10494804382324,3.2382999115751625,0,0,1,0,highconf,20,y
pseudo_00010,QzVs-z3A4mc,0,14.894990508095136,59.20949937469216,14.894990508095136,12.57629694860858,59.30617141723633,19.412777423858643,23.53415584564209,5.689158880866215,1,0,0,0,highconf,20,y
pseudo_00019,L1jJn9KNjws,0,13.536280024579673,12.742016655442912,13.536280024579673,17.094087992514815,16.882400274276733,18.55039691925049,29.52058219909668,1.2201721511506816,0,0,0,0,highconf,20,y
pseudo_00020,xHRe-mZsu8M,0,17.032627429717678,27.99188845752289,17.032627429717678,17.966603212423312,37.59919452667236,23.62937366962433,31.7034912109375,1.3980657529233507,0,0,0,0,highconf,20,y
pseudo_00031,epAwpBdUiYU,0,12.79229753412013,22.872125066521633,12.79229753412013,6.275029296641602,38.81107139587402,17.728614807128906,9.649032354354858,1.3173643247008608,0,0,0,0,highconf,20,y
pseudo_00038,ayQLGgHx3co,0,13.441232433408052,28.168220485562852,13.441232433408052,18.724234086372416,35.93989849090576,31.778687477111816,49.371267318725586,1.4405756422411875,0,0,0,0,highconf,20,y
pseudo_00040,0e0e4tE42oY,0,12.739698866447405,23.123526067444843,12.739698866447405,12.969094575424055,41.6541748046875,20.0283203125,14.585090160369873,1.3313768622369486,0,0,0,0,highconf,20,y
pseudo_00043,Q0u2BSEimEo,0,7.1593609478646165,7.547148037623714,7.1593609478646165,5.730271215205443,12.418373584747314,15.312891006469727,9.103774070739746,1.1520359354085856,0,0,0,0,highconf,20,y
pseudo_00044,mU4XNYhEJNY,0,15.217701751243863,11.900573250852855,15.217701751243863,10.494951762797424,15.545448780059814,20.01890468597412,19.927448272705078,1.2191002559383992,0,0,0,0,highconf,20,y
pseudo_00045,DxrVhhxyxlM,0,21.02870230241261,37.98574093838683,21.02870230241261,39.897414045178365,44.44567446783185,64.34701538085938,42.872623443603516,10.701592486288165,1,1,1,0,highconf,20,y
pseudo_00046,sCdn0hyfxYw,0,15.308725077789193,30.446541489447213,15.308725077789193,23.27356836345653,35.962522983551025,18.82550483942032,30.450624465942383,1.3985929390915737,0,0,0,0,highconf,20,y
pseudo_00049,fJ2BOxlucBQ,0,16.87244690111507,11.755502718589836,16.87244690111507,11.899683142041862,23.352976083755493,26.471421718597412,16.27998447418213,1.2499121357788854,0,0,0,0,highconf,20,y
pseudo_00057,eiqEXQrOuIU,0,18.213163005166447,19.3070017707932,18.213163005166447,14.804371545920606,49.10852336883545,68.1448745727539,31.888054847717285,6.5337943905717015,0,1,1,0,highconf,20,y
