sample_id,video_id,score_x,score_y,score_z,ptp_x,ptp_y,ptp_z,y_max_step,y_turns_raw,n_frames,static_low_motion,neg_type_nod,neg_type_turn,neg_type_mid,hard_neg_rank,rank_pos,rule_score,locked_z_pseudo_label
pseudo_00001,PyUSAycJHYY,28.425736859406157,24.485804404412193,11.936178228516157,37.872106075286865,40.677499771118164,21.814022064208984,19.426475048065186,631,1500,0,0,0,1,3.4876448674496525,24.485804404412193,24.485804404412193,1
pseudo_00002,EYq10SpLKb4,32.915957593695644,28.264430266160314,38.3850078604995,55.82072067260742,40.180721282958984,46.21391487121582,25.44069814682007,540,1500,0,1,0,1,7.530063182351752,28.264430266160314,28.264430266160314,1
pseudo_00003,cDXtKSnAEQs,36.63313866328537,39.076573330761505,23.90307096445762,50.88106942176819,49.32391357421875,30.508864879608154,8.321519374847412,490,1500,0,1,0,0,5.6129509545039475,39.076573330761505,39.076573330761505,1
pseudo_00004,fosfLImKexU,27.384051367397436,48.921205804620456,12.176983678257585,46.26489448547363,66.95176315307617,27.04649829864502,43.73436403274536,618,1500,0,0,0,0,1.6085993294393552,48.921205804620456,48.921205804620456,1
pseudo_00005,T5BWozYHHWI,24.58811304341392,22.61286426424153,36.58015055311876,32.04929828643799,35.97728443145752,49.94398498535156,5.249943971633911,631,1500,0,0,0,1,3.425767552591427,22.61286426424153,22.61286426424153,1
pseudo_00006,vWFCAiWvz-g,36.49186756428871,13.398854699168211,16.392773646019048,42.310686111450195,20.743561923503876,19.52024555206299,5.198982238769531,798,1500,0,1,0,0,5.468636485260406,13.398854699168211,13.398854699168211,1
pseudo_00007,jVcbcgUWumE,13.24965208338139,20.44493745444544,28.570711557126074,18.68024492263794,21.160678148269653,48.10494804382324,1.9779987335205078,847,1500,0,0,0,1,3.2382999115751625,20.44493745444544,20.44493745444544,1
pseudo_00008,DZ9QCoCRRtY,51.920408962489994,68.3355342713827,35.910443545464695,68.4983959197998,81.31464767456055,60.58791542053223,43.88802719116211,415,1500,0,1,0,0,5.925777327997703,68.3355342713827,68.3355342713827,1
pseudo_00009,pSgpP1b0rHo,37.05019719228333,65.64654055064116,30.5242689083785,51.1467866897583,98.14204788208008,39.148305892944336,51.45918869972229,623,1500,0,1,0,0,5.861212211333234,65.64654055064116,65.64654055064116,1
pseudo_00010,QzVs-z3A4mc,59.20949937469216,14.894990508095136,12.57629694860858,59.30617141723633,19.412777423858643,23.53415584564209,9.683730602264404,913,1500,0,1,0,0,5.689158880866215,14.894990508095136,14.894990508095136,1
pseudo_00011,rwx5n0WfXCo,37.397904075387025,75.59791994650625,25.173559416979973,48.08679008483887,78.57351875305176,41.49310874938965,28.828932762145996,780,1500,0,1,0,0,5.766846634519129,75.59791994650625,75.59791994650625,1
pseudo_00012,eZHx_biEECg,24.518930838380452,38.49045303873815,40.19051092988139,39.606101989746094,40.90060043334961,44.45083427429199,11.588860034942627,691,1500,0,0,0,1,3.4496923105505526,38.49045303873815,38.49045303873815,1
pseudo_00013,O98D2Tlgs-E,29.00172750544168,50.70986302693699,29.76868238093423,48.63608741760254,76.09370613098145,40.169782638549805,22.233716011047363,400,1500,0,0,0,0,1.670485805709324,50.70986302693699,50.70986302693699,1
