epoch,train_loss,dev_f1,dev_balanced_accuracy,dev_probability_threshold
1,0.18115605348721148,0.782608695652174,0.5833333333333334,0.4
2,0.16827136678621174,0.782608695652174,0.5833333333333334,0.45000000000000007
3,0.1637156920041889,0.782608695652174,0.5833333333333334,0.45000000000000007
4,0.15284150368534027,0.8181818181818182,0.6666666666666666,0.45000000000000007
5,0.1498258185572922,0.8571428571428571,0.75,0.45000000000000007
6,0.14283744660206138,0.8181818181818182,0.6666666666666666,0.45000000000000007
7,0.12363794813863933,0.8571428571428571,0.75,0.5
8,0.11060088411904871,0.8181818181818182,0.6666666666666666,0.45000000000000007
9,0.10693934778682887,0.8181818181818182,0.6666666666666666,0.45000000000000007
10,0.10419412993360311,0.8181818181818182,0.6666666666666666,0.4
