epoch,train_loss,dev_f1,dev_balanced_accuracy,dev_probability_threshold
1,0.17388879060745238,0.782608695652174,0.5833333333333334,0.5
2,0.1733980044722557,0.8888888888888888,0.8611111111111112,0.5
3,0.16879884004592896,0.8,0.8333333333333333,0.5
4,0.16477604508399962,0.8571428571428571,0.75,0.45000000000000007
5,0.16390423178672792,0.782608695652174,0.5833333333333334,0.4
6,0.16270492374897003,0.8,0.8333333333333333,0.5
7,0.1538704365491867,0.8181818181818182,0.6666666666666666,0.4
8,0.151885549724102,0.875,0.8888888888888888,0.45000000000000007
9,0.1484914869070053,0.8571428571428571,0.75,0.4
10,0.14468932747840882,0.9,0.8333333333333333,0.4
11,0.14120629727840422,0.8421052631578947,0.7777777777777777,0.4
12,0.1401703730225563,0.8571428571428571,0.75,0.35000000000000003
13,0.13929931074380875,0.875,0.8888888888888888,0.45000000000000007
14,0.13234250098466874,0.875,0.8888888888888888,0.45000000000000007
15,0.13117626011371614,0.8571428571428571,0.75,0.35000000000000003
16,0.12796926498413086,0.8571428571428571,0.75,0.30000000000000004
17,0.12241684496402741,0.8235294117647058,0.8055555555555556,0.4
18,0.12007385343313218,0.8571428571428571,0.75,0.25
