sample_id,video_id,person,crop_x0,crop_side,crop_mode,n_faces,watch_side,crop_centre_x,split,on_wrong_half
gold_001,IH6KWbTogT0,p0,0,424,haar,1,LEFT,212.0,DEV,0
gold_002,P4ul1tuvi9c,p0,1,562,haar,2,LEFT,282.0,DEV,0
gold_003,xkHwlcDSOjc,p0,692,493,haar,2,LEFT,938.5,DEV,1
gold_004,RzIxWA-ll8g,p0,777,499,haar,2,LEFT,1026.5,DEV,1
gold_005,D8K1AAxkg0g,p0,56,621,haar,2,LEFT,366.5,DEV,0
gold_006,niEsUBm1l98,p1,0,528,haar,3,RIGHT,264.0,DEV,1
gold_007,wrhnUxQrx8g,p1,787,403,haar,2,RIGHT,988.5,DEV,0
gold_008,sfUBZaWn2f8,p1,645,578,haar,1,RIGHT,934.0,DEV,0
gold_009,GJtqigeWHV8,p1,0,626,haar,1,RIGHT,313.0,DEV,1
gold_010,jg6y3LABwTs,p1,81,574,haar,2,RIGHT,368.0,DEV,1
gold_011,FzCjvLU7u7Q,p0,902,366,haar,2,LEFT,1085.0,DEV,1
gold_012,6RDkdbgzeAI,p0,477,306,haar,1,LEFT,630.0,DEV,0
gold_013,WrWFSBLjWZU,p0,627,456,haar,1,LEFT,855.0,DEV,1
gold_014,f6aNo5Mod9I,p0,280,720,centre,0,LEFT,640.0,DEV,1
gold_015,Ak2Bm8mfL3w,p0,135,490,haar,2,LEFT,380.0,DEV,0
gold_016,Cusa1_4R_QI,p0,560,720,haar,2,LEFT,920.0,TEST,1
gold_017,oQNpe8uwSUA,p0,456,309,haar,2,LEFT,610.5,TEST,0
gold_018,Zrer1sqWzOQ,p0,714,566,haar,3,LEFT,997.0,TEST,1
gold_019,YDI27aeM2O8,p0,58,570,haar,2,LEFT,343.0,TEST,0
gold_020,V1tcw5SLwmM,p0,658,587,haar,2,LEFT,951.5,TEST,1
gold_021,MGXtWqf1_BA,p1,576,640,haar,2,RIGHT,896.0,TEST,0
gold_022,jn_3yDP58Ik,p1,280,720,centre,0,RIGHT,640.0,TEST,0
gold_023,zS-xXIiLrWw,p1,964,307,haar,3,RIGHT,1117.5,TEST,0
gold_024,PM3oaJMiDd4,p1,711,488,haar,2,RIGHT,955.0,TEST,0
gold_025,J4XrvnkftL8,p1,0,381,haar,2,RIGHT,190.5,TEST,1
gold_026,G6tLY8FiheE,p1,85,886,haar,2,RIGHT,528.0,TEST,1
gold_027,VSdVKQhnD9s,p1,635,645,haar,3,RIGHT,957.5,TEST,0
gold_028,N-6L1u42cnw,p1,718,470,haar,2,RIGHT,953.0,TEST,0
gold_029,PDd6qEv0_7c,p1,674,555,haar,2,RIGHT,951.5,TEST,0
gold_030,ktR3_bXoxaE,p1,18,346,haar,3,RIGHT,191.0,TEST,1
