epoch,threshold,oof_bag_balanced_accuracy
1,0.05,0.5
1,0.1,0.5
1,0.15,0.5
1,0.2,0.5
1,0.25,0.5
1,0.3,0.5
1,0.35,0.5
1,0.4,0.5
1,0.45,0.5
1,0.5,0.6
1,0.55,0.6499999999999999
1,0.6,0.6071428571428572
1,0.65,0.5714285714285714
1,0.7,0.5214285714285715
1,0.75,0.5071428571428571
1,0.8,0.5
1,0.85,0.5
1,0.9,0.5
1,0.95,0.5
2,0.05,0.5
2,0.1,0.5
2,0.15,0.5
2,0.2,0.5
2,0.25,0.5
2,0.3,0.5
2,0.35,0.5
2,0.4,0.5
2,0.45,0.5
2,0.5,0.55
2,0.55,0.6142857142857143
2,0.6,0.7642857142857142
2,0.65,0.7642857142857142
2,0.7,0.7285714285714285
2,0.75,0.6285714285714286
2,0.8,0.5642857142857143
2,0.85,0.5285714285714286
2,0.9,0.5
2,0.95,0.5
3,0.05,0.5
3,0.1,0.5
3,0.15,0.5
3,0.2,0.5
3,0.25,0.5
3,0.3,0.5
3,0.35,0.5
3,0.4,0.5
3,0.45,0.5
3,0.5,0.6
3,0.55,0.65
3,0.6,0.7714285714285714
3,0.65,0.7928571428571428
3,0.7,0.8142857142857143
3,0.75,0.7214285714285715
3,0.8,0.7214285714285714
3,0.85,0.6714285714285715
3,0.9,0.5857142857142857
3,0.95,0.5285714285714286
4,0.05,0.5
4,0.1,0.5
4,0.15,0.5
4,0.2,0.5
4,0.25,0.5
4,0.3,0.5
4,0.35,0.5
4,0.4,0.5
4,0.45,0.55
4,0.5,0.6928571428571428
4,0.55,0.7214285714285714
4,0.6,0.7142857142857143
4,0.65,0.7785714285714285
4,0.7,0.7642857142857142
4,0.75,0.7214285714285715
4,0.8,0.6642857142857144
4,0.85,0.6642857142857143
4,0.9,0.6071428571428571
4,0.95,0.5357142857142857
5,0.05,0.5
5,0.1,0.5
5,0.15,0.5
5,0.2,0.5
5,0.25,0.5
5,0.3,0.5
5,0.35,0.55
5,0.4,0.55
5,0.45,0.65
5,0.5,0.7357142857142858
5,0.55,0.7285714285714286
5,0.6,0.7
5,0.65,0.7142857142857143
5,0.7,0.8
5,0.75,0.7571428571428571
5,0.8,0.7428571428571429
5,0.85,0.6857142857142857
5,0.9,0.5928571428571429
5,0.95,0.5857142857142857
6,0.05,0.5
6,0.1,0.5
6,0.15,0.5
6,0.2,0.5
6,0.25,0.5
6,0.3,0.5
6,0.35,0.6
6,0.4,0.6
6,0.45,0.65
6,0.5,0.6857142857142857
6,0.55,0.7142857142857143
6,0.6,0.6928571428571428
6,0.65,0.6642857142857144
6,0.7,0.6785714285714286
6,0.75,0.6928571428571428
6,0.8,0.7714285714285715
6,0.85,0.7428571428571429
6,0.9,0.6785714285714286
6,0.95,0.6642857142857143
7,0.05,0.5
7,0.1,0.5
7,0.15,0.5
7,0.2,0.5
7,0.25,0.5
7,0.3,0.5
7,0.35,0.6
7,0.4,0.7
7,0.45,0.75
7,0.5,0.7428571428571429
7,0.55,0.7428571428571429
7,0.6,0.7571428571428571
7,0.65,0.7428571428571429
7,0.7,0.7285714285714285
7,0.75,0.7428571428571429
7,0.8,0.7071428571428571
7,0.85,0.7285714285714286
7,0.9,0.7142857142857143
7,0.95,0.6357142857142857
8,0.05,0.5
8,0.1,0.5
8,0.15,0.5
8,0.2,0.5
8,0.25,0.5
8,0.3,0.55
8,0.35,0.65
8,0.4,0.75
8,0.45,0.75
8,0.5,0.75
8,0.55,0.75
8,0.6,0.7214285714285714
8,0.65,0.7642857142857142
8,0.7,0.7857142857142857
8,0.75,0.8285714285714285
8,0.8,0.8
8,0.85,0.7571428571428571
8,0.9,0.6714285714285715
8,0.95,0.6714285714285715
9,0.05,0.5
9,0.1,0.5
9,0.15,0.5
9,0.2,0.55
9,0.25,0.6
9,0.3,0.65
9,0.35,0.7
9,0.4,0.75
9,0.45,0.75
9,0.5,0.75
9,0.55,0.7428571428571429
9,0.6,0.7142857142857143
9,0.65,0.7071428571428571
9,0.7,0.7571428571428571
9,0.75,0.7857142857142857
9,0.8,0.7571428571428571
9,0.85,0.7785714285714286
9,0.9,0.7928571428571429
9,0.95,0.7214285714285714
10,0.05,0.5
10,0.1,0.5
10,0.15,0.55
10,0.2,0.6
10,0.25,0.7
10,0.3,0.7
10,0.35,0.75
10,0.4,0.75
10,0.45,0.75
10,0.5,0.7428571428571429
10,0.55,0.7357142857142858
10,0.6,0.7214285714285714
10,0.65,0.75
10,0.7,0.75
10,0.75,0.7857142857142857
10,0.8,0.7714285714285714
10,0.85,0.7571428571428571
10,0.9,0.8285714285714285
10,0.95,0.7714285714285715
11,0.05,0.5
11,0.1,0.5
11,0.15,0.55
11,0.2,0.65
11,0.25,0.65
11,0.3,0.75
11,0.35,0.75
11,0.4,0.8
11,0.45,0.7928571428571429
11,0.5,0.7928571428571429
11,0.55,0.8357142857142856
11,0.6,0.8285714285714285
11,0.65,0.8214285714285714
11,0.7,0.8142857142857143
11,0.75,0.7714285714285714
11,0.8,0.7714285714285714
11,0.85,0.8
11,0.9,0.8428571428571429
11,0.95,0.7714285714285715
12,0.05,0.55
12,0.1,0.6
12,0.15,0.65
12,0.2,0.65
12,0.25,0.75
12,0.3,0.75
12,0.35,0.8428571428571429
12,0.4,0.8357142857142856
12,0.45,0.8285714285714285
12,0.5,0.8285714285714285
12,0.55,0.8142857142857143
12,0.6,0.8
12,0.65,0.8357142857142857
12,0.7,0.8357142857142857
12,0.75,0.8214285714285714
12,0.8,0.8071428571428572
12,0.85,0.7785714285714286
12,0.9,0.7428571428571429
12,0.95,0.7285714285714286
13,0.05,0.55
13,0.1,0.6
13,0.15,0.65
13,0.2,0.7
13,0.25,0.7
13,0.3,0.7
13,0.35,0.8
13,0.4,0.8428571428571429
13,0.45,0.8357142857142856
13,0.5,0.8357142857142856
13,0.55,0.8142857142857143
13,0.6,0.8
13,0.65,0.8428571428571429
13,0.7,0.8285714285714285
13,0.75,0.8214285714285714
13,0.8,0.8071428571428572
13,0.85,0.7928571428571429
13,0.9,0.8071428571428572
13,0.95,0.7642857142857142
14,0.05,0.55
14,0.1,0.55
14,0.15,0.65
14,0.2,0.7
14,0.25,0.7
14,0.3,0.75
14,0.35,0.7428571428571429
14,0.4,0.7928571428571429
14,0.45,0.7928571428571429
14,0.5,0.7928571428571429
14,0.55,0.8428571428571429
14,0.6,0.8428571428571429
14,0.65,0.8285714285714285
14,0.7,0.8
14,0.75,0.8
14,0.8,0.8
14,0.85,0.7857142857142857
14,0.9,0.8
14,0.95,0.8071428571428572
15,0.05,0.55
15,0.1,0.65
15,0.15,0.65
15,0.2,0.65
15,0.25,0.7
15,0.3,0.7928571428571429
15,0.35,0.7928571428571429
15,0.4,0.7857142857142857
15,0.45,0.7857142857142857
15,0.5,0.7857142857142857
15,0.55,0.8357142857142856
15,0.6,0.8357142857142856
15,0.65,0.8357142857142856
15,0.7,0.8214285714285714
15,0.75,0.8071428571428572
15,0.8,0.7714285714285714
15,0.85,0.7642857142857142
15,0.9,0.75
15,0.95,0.8214285714285714
16,0.05,0.6
16,0.1,0.7
16,0.15,0.7428571428571429
16,0.2,0.7357142857142858
16,0.25,0.7857142857142857
16,0.3,0.8142857142857143
16,0.35,0.8142857142857143
16,0.4,0.8142857142857143
16,0.45,0.8
16,0.5,0.7928571428571428
